prison,date,incidents
Manchester,2015-07-01,1
Manchester,2019-01-01,1
Manchester,2019-06-01,1
Manchester,2020-08-01,1
Manchester,2020-11-01,1
Manchester,2021-03-01,1
Manchester,2021-12-01,1
Manchester,2024-04-01,1
Manchester,2024-07-01,1
Moorland,2008-01-01,1
Moorland,2021-04-01,1
Moorland,2023-08-01,1
Mount,2019-09-01,1
Mount,2022-07-01,2
Mount,2023-01-01,2
Mount,2023-11-01,1
New Hall,2016-09-01,1
New Hall,2019-06-01,1
New Hall,2023-11-01,1
Northumberland,2016-03-01,1
Northumberland,2017-05-01,1
Northumberland,2018-05-01,1
Northumberland,2021-10-01,1
Northumberland,2024-02-01,1
Northumberland: Castington,2005-07-01,1
Norwich,2009-09-01,1
Nottingham,2017-09-01,1
Nottingham,2022-06-01,1
Oakwood,2018-05-01,1
Oakwood,2021-01-01,1
Oakwood,2021-02-01,1
Onley,2017-12-01,1
Onley,2024-04-01,1
Parc,2012-11-01,1
Parc,2017-11-01,1
Parc,2018-06-01,1
Parc,2018-10-01,1
Parc,2018-11-01,1
Parc,2019-10-01,1
Parc,2020-08-01,1
Parc,2021-07-01,1
Parc,2022-04-01,1
Parc,2022-12-01,1
Parc,2023-01-01,2
Parc,2024-02-01,1
Parc,2024-03-01,3
Parc,2024-04-01,1
Pentonville,2014-10-01,1
Pentonville,2019-09-01,1
Pentonville,2022-05-01,1
Peterborough,2008-03-01,1
Peterborough (Male & Female),2016-07-01,1
Peterborough (Male & Female),2021-06-01,1
Peterborough (Male & Female),2022-11-01,1
Peterborough (Male & Female),2023-02-01,1
Ranby,2013-09-01,1
Ranby,2015-06-01,1
Ranby,2018-12-01,1
Risley,2001-03-01,1
Risley,2004-02-01,1
Risley,2004-03-01,1
Risley,2017-03-01,1
Risley,2017-08-01,1
Risley,2018-03-01,1
Risley,2018-10-01,1
Rochester,2018-03-01,1
Rochester,2022-05-01,1
Rye Hill,2011-04-01,1
Rye Hill,2012-07-01,1
Stocken,2018-10-01,1
Stocken,2020-12-01,1
Stoke Heath,2016-12-01,1
Stoke Heath,2017-10-01,1
Styal,2018-02-01,1
Sudbury,2015-09-01,1
Sudbury,2016-02-01,1
Sudbury,2017-03-01,1
Sudbury,2020-01-01,1
Sudbury,2021-06-01,1
Swaleside (Sheppey),2002-12-01,1
Swaleside (Sheppey),2018-08-01,1
Swaleside (Sheppey),2019-11-01,1
Swaleside (Sheppey),2022-06-01,1
Swaleside (Sheppey),2023-10-01,1
Swansea,2020-11-01,1
Swansea,2022-10-01,1
Swansea,2023-10-01,1
Thameside,2014-12-01,1
Thameside,2018-02-01,1
Thameside,2019-07-01,1
Thameside,2021-03-01,1
Thameside,2024-03-01,1
Thorn Cross,2019-06-01,1
Verne,2010-07-01,1
Wandsworth,2004-02-01,1
Wandsworth,2009-08-01,1
Wandsworth,2010-03-01,1
Wandsworth,2018-02-01,1
Wandsworth,2018-11-01,1
Wandsworth,2019-09-01,1
Wandsworth,2021-12-01,2
Wandsworth,2024-06-01,1
Warren Hill,2021-05-01,1
Wealstun,2010-09-01,1
Wealstun,2019-05-01,1
Wealstun,2019-06-01,1
Whitemoor,2017-12-01,1
Whitemoor,2018-06-01,1
Whitemoor,2021-03-01,1
Winchester,2002-07-01,1
Winchester,2015-08-01,1
Winchester,2023-05-01,1
Woodhill,2016-02-01,1
Woodhill,2018-08-01,1
Woodhill,2024-04-01,1
