prison,date,incidents
Belmarsh,2018-05-01,1
Belmarsh,2018-11-01,1
Belmarsh,2019-04-01,1
Belmarsh,2019-11-01,1
Belmarsh,2020-01-01,1
Belmarsh,2020-02-01,1
Belmarsh,2020-04-01,1
Belmarsh,2020-11-01,1
Belmarsh,2021-07-01,1
Belmarsh,2022-09-01,1
Belmarsh,2023-12-01,1
Belmarsh,2024-04-01,1
Belmarsh,2024-06-01,2
Berwyn,2018-03-01,1
Berwyn,2019-01-01,1
Berwyn,2019-10-01,1
Berwyn,2019-11-01,1
Berwyn,2020-01-01,1
Berwyn,2020-05-01,1
Berwyn,2020-11-01,1
Berwyn,2021-02-01,1
Berwyn,2021-03-01,1
Berwyn,2021-08-01,1
Berwyn,2022-03-01,1
Berwyn,2022-07-01,1
Berwyn,2022-08-01,1
Berwyn,2023-08-01,1
Berwyn,2024-09-01,1
Birmingham,2000-02-01,1
Birmingham,2000-05-01,2
Birmingham,2000-07-01,1
Birmingham,2000-10-01,1
Birmingham,2001-01-01,1
Birmingham,2001-03-01,1
Birmingham,2001-06-01,1
Birmingham,2001-07-01,1
Birmingham,2001-08-01,1
Birmingham,2003-01-01,2
Birmingham,2003-04-01,1
Birmingham,2003-05-01,1
Birmingham,2003-12-01,1
Birmingham,2004-06-01,1
Birmingham,2004-08-01,1
Birmingham,2005-07-01,1
Birmingham,2005-12-01,1
Birmingham,2006-01-01,2
Birmingham,2006-03-01,1
Birmingham,2006-06-01,1
Birmingham,2006-07-01,1
Birmingham,2007-01-01,1
Birmingham,2007-02-01,1
Birmingham,2007-03-01,1
Birmingham,2007-08-01,2
Birmingham,2007-12-01,2
Birmingham,2008-02-01,1
Birmingham,2008-08-01,1
Birmingham,2008-11-01,3
Birmingham,2009-12-01,1
Birmingham,2010-02-01,2
Birmingham,2010-03-01,2
Birmingham,2010-06-01,3
Birmingham,2010-07-01,1
Birmingham,2010-08-01,1
Birmingham,2010-09-01,2
Birmingham,2010-10-01,1
Birmingham,2011-08-01,1
Birmingham,2011-11-01,1
Birmingham,2011-12-01,2
Birmingham,2012-04-01,1
Birmingham,2012-07-01,1
Birmingham,2013-04-01,1
Birmingham,2013-05-01,1
Birmingham,2013-06-01,1
Birmingham,2013-12-01,1
Birmingham,2014-04-01,3
Birmingham,2014-10-01,1
Birmingham,2015-04-01,1
Birmingham,2015-06-01,2
Birmingham,2015-07-01,1
Birmingham,2016-07-01,1
Birmingham,2016-08-01,2
Birmingham,2016-11-01,2
Birmingham,2016-12-01,2
Birmingham,2017-01-01,1
Birmingham,2017-04-01,1
Birmingham,2017-06-01,1
Birmingham,2017-08-01,3
Birmingham,2017-12-01,1
Birmingham,2018-03-01,5
Birmingham,2018-04-01,1
Birmingham,2018-08-01,1
Birmingham,2018-09-01,1
Birmingham,2019-02-01,2
Birmingham,2019-08-01,1
Birmingham,2020-04-01,1
Birmingham,2020-10-01,1
Birmingham,2020-12-01,1
Birmingham,2021-01-01,3
Birmingham,2021-03-01,1
Birmingham,2021-06-01,1
Birmingham,2021-07-01,1
Birmingham,2022-01-01,2
Birmingham,2022-02-01,1
Birmingham,2022-08-01,1
Birmingham,2022-10-01,2
Birmingham,2023-03-01,1
Birmingham,2023-08-01,1
Birmingham,2023-12-01,1
Birmingham,2024-03-01,1
Birmingham,2024-05-01,1
Birmingham,2024-06-01,1
Birmingham,2024-08-01,1
Blantyre House,2013-06-01,1
Blundeston,2000-04-01,1
Blundeston,2000-09-01,1
Blundeston,2002-03-01,1
Blundeston,2013-10-01,1
Brinsford,2000-03-01,2
Brinsford,2000-05-01,1
Brinsford,2001-02-01,1
Brinsford,2001-09-01,1
Brinsford,2005-02-01,1
Brinsford,2007-03-01,1
Brinsford,2009-07-01,1
Brinsford,2009-10-01,1
Brinsford,2015-12-01,1
Brinsford,2018-03-01,1
Brinsford,2020-12-01,1
Bristol,2000-01-01,1
Bristol,2000-03-01,1
Bristol,2001-01-01,1
Bristol,2001-10-01,1
Bristol,2002-06-01,1
Bristol,2002-08-01,1
Bristol,2003-01-01,2
Bristol,2003-10-01,1
Bristol,2004-04-01,1
Bristol,2004-06-01,3
Bristol,2004-07-01,1
Bristol,2004-11-01,1
Bristol,2005-06-01,1
Bristol,2006-06-01,1
Bristol,2006-10-01,1
Bristol,2007-01-01,1
Bristol,2007-06-01,1
Bristol,2007-10-01,1
Bristol,2008-05-01,1
Bristol,2008-06-01,1
Bristol,2008-08-01,1
Bristol,2009-09-01,1
Bristol,2010-01-01,1
Bristol,2010-03-01,2
Bristol,2011-08-01,1
Bristol,2011-11-01,2
Bristol,2012-07-01,1
Bristol,2013-02-01,1
Bristol,2014-12-01,1
Bristol,2015-01-01,3
Bristol,2015-04-01,1
Bristol,2016-01-01,1
Bristol,2016-03-01,1
Bristol,2016-07-01,1
Bristol,2016-10-01,1
Bristol,2016-11-01,2
Bristol,2016-12-01,1
Bristol,2017-03-01,1
Bristol,2017-04-01,1
Bristol,2017-05-01,1
Bristol,2018-01-01,1
Bristol,2018-02-01,1
Bristol,2018-04-01,1
Bristol,2019-09-01,1
Bristol,2020-03-01,1
Bristol,2020-05-01,1
Bristol,2020-09-01,1
Bristol,2021-12-01,1
Bristol,2022-02-01,1
Bristol,2022-11-01,1
Bristol,2022-12-01,1
Bristol,2023-01-01,1
Bristol,2023-03-01,1
Bristol,2023-05-01,1
Bristol,2023-06-01,1
Bristol,2023-07-01,2
Bristol,2023-09-01,1
Bristol,2024-01-01,2
Brixton,2000-03-01,1
Brixton,2000-07-01,1
Brixton,2000-08-01,1
Brixton,2000-10-01,2
Brixton,2001-02-01,1
Brixton,2001-03-01,1
Brixton,2002-03-01,1
Brixton,2002-05-01,1
Brixton,2003-12-01,1
Brixton,2004-01-01,1
Brixton,2004-03-01,1
Brixton,2004-09-01,1
Brixton,2005-04-01,1
Brixton,2006-04-01,1
Brixton,2006-05-01,1
Brixton,2006-06-01,3
Brixton,2007-02-01,1
Brixton,2007-04-01,1
Brixton,2007-05-01,1
Brixton,2007-09-01,1
Brixton,2008-02-01,1
Brixton,2008-03-01,1
Brixton,2010-07-01,1
Brixton,2010-10-01,1
Brixton,2010-12-01,1
Brixton,2011-05-01,1
Brixton,2011-10-01,1
Brixton,2012-02-01,1
Brixton,2013-10-01,1
Brixton,2013-12-01,1
Brixton,2014-02-01,1
Brixton,2014-06-01,1
Brixton,2014-10-01,1
Brixton,2015-05-01,1
Brixton,2018-05-01,1
Brixton,2018-11-01,1
Brixton,2019-06-01,1
Brixton,2020-05-01,1
Brixton,2020-07-01,1
Brixton,2021-01-01,1
Brixton,2021-03-01,1
Brixton,2023-08-01,1
Brixton,2024-02-01,1
Brixton,2024-04-01,1
Brixton,2024-05-01,1
Brixton,2024-09-01,1
Bronzefield,2005-09-01,1
Bronzefield,2005-10-01,1
Bronzefield,2010-05-01,1
Bronzefield,2011-03-01,1
Bronzefield,2012-07-01,1
Bronzefield,2013-01-01,1
Bronzefield,2014-07-01,1
Bronzefield,2015-09-01,1
Bronzefield,2016-07-01,1
Bronzefield,2017-06-01,1
Bronzefield,2017-07-01,1
Bronzefield,2018-09-01,1
Bronzefield,2021-11-01,1
Bronzefield,2024-05-01,1
Buckley Hall,2004-06-01,1
Buckley Hall,2009-06-01,1
Buckley Hall,2015-08-01,1
Buckley Hall,2015-09-01,1
Buckley Hall,2017-02-01,1
Buckley Hall,2017-04-01,1
Buckley Hall,2017-08-01,1
Buckley Hall,2022-08-01,1
Bullingdon,2000-12-01,1
Bullingdon,2002-01-01,1
Bullingdon,2002-03-01,1
Bullingdon,2002-11-01,2
Bullingdon,2003-02-01,1
Bullingdon,2003-08-01,1
Bullingdon,2004-08-01,1
Bullingdon,2004-10-01,1
Bullingdon,2004-12-01,2
Bullingdon,2005-03-01,1
Bullingdon,2006-05-01,1
Bullingdon,2006-08-01,1
Bullingdon,2006-09-01,2
Bullingdon,2007-10-01,1
Bullingdon,2008-03-01,1
Bullingdon,2009-01-01,1
Bullingdon,2009-10-01,1
Bullingdon,2010-05-01,2
Bullingdon,2010-12-01,1
Bullingdon,2011-06-01,1
Bullingdon,2011-09-01,1
Bullingdon,2011-10-01,1
Bullingdon,2012-02-01,1
Bullingdon,2012-08-01,1
Bullingdon,2013-01-01,1
Bullingdon,2013-04-01,1
Bullingdon,2013-08-01,1
Bullingdon,2014-01-01,1
Bullingdon,2014-06-01,1
Bullingdon,2015-05-01,1
Bullingdon,2015-07-01,1
Bullingdon,2015-09-01,1
Bullingdon,2015-10-01,1
Bullingdon,2015-12-01,1
Bullingdon,2016-02-01,2
Bullingdon,2016-05-01,1
Bullingdon,2016-07-01,1
Bullingdon,2017-02-01,1
Bullingdon,2017-04-01,1
Bullingdon,2017-12-01,1
Bullingdon,2018-01-01,1
Bullingdon,2018-04-01,1
Bullingdon,2018-09-01,1
Bullingdon,2019-03-01,1
Bullingdon,2019-04-01,2
Bullingdon,2019-06-01,1
Bullingdon,2019-09-01,1
Bullingdon,2020-02-01,1
Bullingdon,2020-05-01,2
Bullingdon,2020-07-01,1
Bullingdon,2021-02-01,2
Bullingdon,2021-03-01,1
Bullingdon,2021-04-01,1
Bullingdon,2021-05-01,1
